STATUS | wrapper  | 2023/08/16 20:48:05 | --> Wrapper Started as Console
STATUS | wrapper  | 2023/08/16 20:48:05 | Launching a JVM...
INFO   | jvm 1    | 2023/08/16 20:48:06 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2023/08/16 20:48:06 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2023/08/16 20:48:06 | 
INFO   | jvm 1    | 2023/08/16 20:48:06 | Java Runtime: Eclipse Adoptium 17.0.3 C:\Program Files\Eclipse Adoptium\jdk-17.0.3.7-hotspot
INFO   | jvm 1    | 2023/08/16 20:48:06 |   Heap sizes: current=1048576k  free=1038336k  max=1048576k
INFO   | jvm 1    | 2023/08/16 20:48:06 |     JVM args: -Dactivemq.home=../.. -Dactivemq.base=../.. -Djavax.net.ssl.keyStorePassword=password -Djavax.net.ssl.trustStorePassword=password -Djavax.net.ssl.keyStore=../../conf/broker.ks -Djavax.net.ssl.trustStore=../../conf/broker.ts -Dcom.sun.management.jmxremote -Dorg.apache.activemq.UseDedicatedTaskRunner=false -Djava.util.logging.config.file=logging.properties -Dactivemq.conf=../../conf -Dactivemq.data=../../data -Djava.security.auth.login.config=../../conf/login.config -Djolokia.conf=file:../../conf/jolokia-access.xml -Xms1024m -Xmx1024m -Djava.library.path=../../bin/win64 -Dwrapper.key=LsWv8N_PCcRfOaAt -Dwrapper.port=32000 -Dwrapper.jvm.port.min=31000 -Dwrapper.jvm.port.max=31999 -Dwrapper.pid=12080 -Dwrapper.version=3.2.3 -Dwrapper.native_library=wrapper -Dwrapper.cpu.timeout=10 -Dwrapper.jvmid=1
INFO   | jvm 1    | 2023/08/16 20:48:06 | Extensions classpath:
INFO   | jvm 1    | 2023/08/16 20:48:06 |   [..\..\lib,..\..\lib\camel,..\..\lib\optional,..\..\lib\web,..\..\lib\extra]
INFO   | jvm 1    | 2023/08/16 20:48:06 | ACTIVEMQ_HOME: ..\..
INFO   | jvm 1    | 2023/08/16 20:48:06 | ACTIVEMQ_BASE: ..\..
INFO   | jvm 1    | 2023/08/16 20:48:06 | ACTIVEMQ_CONF: ..\..\conf
INFO   | jvm 1    | 2023/08/16 20:48:06 | ACTIVEMQ_DATA: ..\..\data
INFO   | jvm 1    | 2023/08/16 20:48:06 | Loading message broker from: xbean:activemq.xml
INFO   | jvm 1    | 2023/08/16 20:48:07 |  INFO | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\Estudos\Desktop\Software Concorrente e Distribuído\Talkei\server\bin\win64\..\..\data\kahadb]
INFO   | jvm 1    | 2023/08/16 20:48:07 |  INFO | Starting Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\Estudos\Desktop\Software Concorrente e Distribuído\Talkei\server\bin\win64\..\..\data\kahadb]
INFO   | jvm 1    | 2023/08/16 20:48:07 |  INFO | Starting KahaDBStore
INFO   | jvm 1    | 2023/08/16 20:48:07 |  INFO | Opening MessageDatabase
INFO   | jvm 1    | 2023/08/16 20:48:08 |  INFO | Starting Temp Data Store
INFO   | jvm 1    | 2023/08/16 20:48:08 |  INFO | PListStore:[C:\Users\Estudos\Desktop\Software Concorrente e Distribuído\Talkei\server\bin\win64\..\..\data\localhost\tmp_storage] started
INFO   | jvm 1    | 2023/08/16 20:48:08 |  INFO | Starting Job Scheduler Store
INFO   | jvm 1    | 2023/08/16 20:48:08 |  INFO | Persistence Adapter successfully started
INFO   | jvm 1    | 2023/08/16 20:48:08 |  INFO | Apache ActiveMQ 5.18.2 (localhost, ID:PC-do-Arthur-60231-1692229688346-0:1) is starting
INFO   | jvm 1    | 2023/08/16 20:48:08 |  INFO | Listening for connections at: tcp://PC-do-Arthur:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2023/08/16 20:48:08 |  INFO | Connector openwire started
INFO   | jvm 1    | 2023/08/16 20:48:08 |  INFO | Listening for connections at: amqp://PC-do-Arthur:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2023/08/16 20:48:08 |  INFO | Connector amqp started
INFO   | jvm 1    | 2023/08/16 20:48:08 |  INFO | Listening for connections at: stomp://PC-do-Arthur:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2023/08/16 20:48:08 |  INFO | Connector stomp started
INFO   | jvm 1    | 2023/08/16 20:48:08 |  INFO | Listening for connections at: mqtt://PC-do-Arthur:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2023/08/16 20:48:08 |  INFO | Connector mqtt started
INFO   | jvm 1    | 2023/08/16 20:48:08 |  INFO | Starting Jetty server
